Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
VIV4157,A. I. Abraham González,A. I. Gral. Mariano Escobedo,2:18,19:18,dom 11:36PM CST
VIV3337,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,2:43,18:47,dom 11:30PM CST
VOI477,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:31,18:35,dom 07:06PM PST
SLI118,A. I. Abraham González,A. I. Benito Juárez,3:08,18:00,dom 09:08PM CST
VIV9071,A. I. Abraham González,A. I. del Bajío,2:42,15:38,dom 06:20PM CST
AMX116,A. I. Abraham González,A. I. Benito Juárez,3:02,15:05,dom 06:07PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez,3:00,12:59,dom 03:59PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez,3:00,12:45,dom 03:47PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez,3:01,10:46,dom 01:47PM CST
AMX114,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,2:45,9:33,dom 12:18PM CST
N401LM,A. I. Amado Nervo,A. I. de Ciudad Obregón,2:44,8:12,10:56AM
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:48,8:29,11:11AM 
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:24,10:15,11:31AM
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:06,6:30,Sun 07:36AM CST
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:08,6:32,Sun 07:36AM CST
VOI773,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:16,10:10,Sun 11:26AM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,11:14,Sun 12:21PM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,11:14,Sun 12:21PM CST
VIV3143,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:32,11:51,Sun 01:23PM CST
VIV9013,A. I. Angel Albino Corzo,A. I. Manuel Crescencio Rejón,0:54,13:40,Sun 02:34PM CST
VOI689,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:36,16:57,Sun 06:33PM CST
VIV4197,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:40,17:17,Sun 06:57PM CST
VOI118,A. I. Angel Albino Corzo,A. I. de Cancún,2:20,17:39,Sun 07:59PM EST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,18:02,Sun 07:11PM CST
VIV2259,A. I. Angel Albino Corzo,A. I. de Cancún,2:15,21:07,Sun 11:22PM EST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:02,23:07,Mon 12:09AM CST
DALF,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:54,1:52,dom 02:46AM CST
QTR8917,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:53,4:53,dom 05:46AM CST
VOI760,A. I. Benito Juárez,A. I. Gral. Ignacio Pesqueira García,1:13,5:26,dom 06:39AM MST
VOI792,A. I. Benito Juárez,A. I. Federal de Culiacán,0:34,5:49,dom 06:23AM MST
VIV1422,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:33,6:00,dom 06:33AM CST
