Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
VIV4157,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:14,22:25,jue 11:39PM CST
VIV3337,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla ,1:41,21:57,jue 11:38PM CST
VTM404,A. I. Abraham González,A. I. Plan de Guadalupe,1:10,20:27,jue 09:37PM CST
ESF337,A. I. Abraham González,A. I. Gral. Roberto Fierro Villalobos,1:48,20:17,jue 08:01PM MST
VOI241,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla ,1:45,19:03,jue 08:48PM CST
SLI118,A. I. Abraham González,A. I. Benito Juárez,2:05,18:57,jue 09:02PM CST
AMX116,A. I. Abraham González,A. I. Benito Juárez,2:01,17:42,jue 07:43PM CST
VIV9071,A. I. Abraham González,A. I. del Bajío,1:40,17:03,jue 06:43PM CST
VOI114,A. I. Abraham González,A. I. de Cancún,3:56,15:39,jue 07:35PM EST
VIV1003,A. I. Abraham González,A. I. Benito Juárez ,1:59,14:02,jue 04:03PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez ,2:01,13:38,jue 03:39PM CST
MCS1000,A. I. Abraham González,A. I. Gral. Roberto Fierro Villalobos,1:35,11:53,jue 11:28AM MST
AMX114,A. I. Abraham González,A. I. Benito Juárez ,2:08,11:36,jue 01:44PM CST
VOI481,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:28,8:52,jue 09:20AM PDT
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:29,08:34AM,10:54AM
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:23,09:35AM,11:46AM
VOI849,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:26,03:23PM,05:39PM
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:08,6:32,Thu 07:40AM CST
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,6:33,Thu 07:41AM CST
VOI545,A. I. Angel Albino Corzo,A. I. Gral. Abelardo L. Rodríguez,2:33,8:16,Thu 11:07AM PDT
VIV9011,A. I. Angel Albino Corzo,A. I. Manuel Crescencio Rejón,1:05,9:55,Thu 11:00AM CST
VOI773,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:13,10:14,Thu 11:27AM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:11,11:26,Thu 12:37PM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:12,11:27,Thu 12:37PM CST
VIV4193,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:40,13:51,Thu 03:31PM CST
SLI319,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,14:25,Thu 03:32PM CST
SLI8151,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,14:25,Thu 03:32PM CST
VIV3145,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:30,15:14,Thu 04:44PM CST
VOI689,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:34,17:05,Thu 06:41PM CST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:06,18:04,Thu 07:10PM CST
VIV2259,A. I. Angel Albino Corzo,A. I. de Cancún,2:11,20:36,Thu 10:47PM EST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:05,23:02,Fri 12:07AM CST
GEC8225,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla ,0:44,0:47,jue 01:31AM CST
ESF337,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:43,0:56,jue 01:39AM CST
VOI760,A. I. Benito Juárez,A. I. Gral. Ignacio Pesqueira García,2:10,5:29,jue 06:40AM MST
VIV1120,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,2:20,5:58,jue 07:04AM CST
VIV1442,A. I. Benito Juárez,A. I. Gral. Fco. Javier Mina,0:39,6:02,jue 06:41AM CST
VOI608,A. I. Benito Juárez,A. I. Manuel Márquez de León,0:49,6:28,jue 07:17AM MST
VOI714,A. I. Benito Juárez,A. I. de Cancún,2:44,7:02,jue 09:46AM EST
AIJ2360,A. I. Benito Juárez,A. I. de Cancún,2:47,7:34,jue 10:21AM EST
AMX7949,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla ,0:46,8:13,jue 08:59AM CST
VIV1134,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:40,8:40,jue 09:44AM CST
AMX912,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:49,9:30,jue 10:34AM CST
VIV1344,A. I. Benito Juárez,A. I. Manuel Márquez de León,1:49,10:02,jue 10:51AM MST
SLI332,A. I. Benito Juárez,A. I. Lic. Gustavo Díaz Ordaz ,1:10,10:42,jue 11:43AM CST
AMX8093,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:24,11:06,jue 12:30PM CST
VOI764,A. I. Benito Juárez,A. I. Xoxocotlán,0:43,11:28,jue 12:11PM CST
VOI584,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:42,12:01,jue 12:43PM CST
VIV1020,A. I. Benito Juárez,A. I. de Cancún,2:42,12:46,jue 03:28PM EST
SLI8064,A. I. Benito Juárez,A. I. Xoxocotlán,0:40,13:04,jue 01:44PM CST
SLI8157,A. I. Benito Juárez,A. I. Carlos Rovirosa Pérez,1:42,13:55,jue 03:37PM CST
SLI9099,A. I. Benito Juárez,A. I. Gral. Juan N. Álvarez,0:33,14:07,jue 02:40PM CST
AMX534,A. I. Benito Juárez,A. I. de Cancún,2:42,14:57,jue 05:36PM EST
VOI824,A. I. Benito Juárez,A. I. de Chetumal,1:35,15:05,jue 04:40PM CST
AIJ2382,A. I. Benito Juárez,A. I. de Cancún,2:45,16:09,jue 06:54PM EST
SLI834,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón ,1:28,16:39,jue 06:07PM CST
SLI8066,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:37,17:02,jue 05:39PM CST
SLI374,A. I. Benito Juárez,A. I. de Tapachula,1:21,17:45,jue 07:06PM CST
TAO344,A. I. Benito Juárez,A. I. Ponciano Arriaga,1:02,18:08,jue 07:10PM CST
TNO300,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:47,18:48,jue 07:35PM CST
VIV1138,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:09,19:01,jue 08:10PM CST
TAO653,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:54,19:38,jue 08:32PM CST
VOI728,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:47,20:08,jue 08:55PM CST
VIV1286,A. I. Benito Juárez,A. I. Carlos Rovirosa Pérez,1:13,20:38,jue 09:51PM CST
SLI8126,A. I. Benito Juárez,A. I. Ángel Albino Corzo,1:12,21:02,jue 10:14PM CST
VIV1246,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,2:00,21:39,jue 11:39PM PDT
VIV1070,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:42,22:03,jue 10:45PM CST
VIV4393,A. I. Carlos Rovirosa Pérez,A. I. Gral. Mariano Escobedo ,1:33,9:08,10:41AM CST
AMX807,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:29,12:18,01:22PM CST
N629MD,A. I. Carlos Rovirosa Pérez,A. I. de Cancún,1:13,13:09,03:22PM EST
SLI8980,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:41,17:20,06:38PM CST
SLI811,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:46,19:46,08:56PM CST
VIV1287,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:12,23:25,12:28AM CST
SLI395,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:00,13:05,jue 02:05PM CST 
VOI779,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:54,15:24,jue 04:18PM CST 
SLI399,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:56,16:30,jue 05:26PM CST 
VIV1093,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:39,16:40,jue 06:19PM CST 
VOI547,A. I. de Bahías de Huatulco,A. I. Gral. Abelardo L. Rodríguez,2:38,19:34,jue 10:12PM PDT 
VIV2102,A. I. de Cancún,A. I. Gral. Heriberto Jara,1:21,6:12,06:33AM CST
VOI111,A. I. de Cancún,A. I. Hermanos Serdán,1:50,6:42,07:18AM CST
VOI723,A. I. de Cancún,A. I. Benito Juárez,1:27,7:05,07:52AM CST
VOI619,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:30,8:08, 09:20AM CST
AMX509,A. I. de Cancún,A. I. Benito Juárez,2:18,8:13,08:58AM CST
VIV1015,A. I. de Cancún,A. I. Benito Juárez,2:00,10:17,11:03AM CST
VIV2164,A. I. de Cancún,A. I. Gral. Mariano Escobedo,1:58,10:23,11:16AM CST
