VIV3337,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:50,21:49,lun 11:39PM CST
VTM404,A. I. Abraham González,A. I. Plan de Guadalupe,1:18,20:39,lun 09:57PM CST
VOI477,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:42,19:29,lun 08:11PM PDT
SLI118,A. I. Abraham González,A. I. Benito Juárez,2:05,19:01,lun 09:06PM CST
VOI241,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:50,18:40,lun 08:30PM CST
AMX116,A. I. Abraham González,A. I. Benito Juárez,2:09,16:37,lun 06:46PM CST
VIV4153,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:13,14:18,lun 03:31PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez,2:06,14:10,lun 04:16PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez,2:00,13:37,lun 03:37PM CST
SLI114,A. I. Abraham González,A. I. Benito Juárez,2:19,11:43,lun 02:02PM CST
VOI481,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:51,10:14,lun 11:05AM PDT
VIV9065,A. I. Abraham González,A. I. del Bajío,1:44,9:13,lun 10:57AM CST
VIV3329,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:49,8:40,lun 10:29AM CST
VOI849,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:36,15:13,05:38PM
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,6:31,Mon 07:38AM CST
VOI773,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:15,10:21,Mon 11:36AM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:16,11:17,Mon 12:33PM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:15,11:17,Mon 12:32PM CST
SLI8151,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:15,14:20,Mon 03:35PM CST
SLI319,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:13,14:22,Mon 03:35PM CST
VIV4197,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:40,16:39,Mon 06:19PM CST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:13,16:19,Mon 07:32PM CST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:03,23:22,Tue 12:25AM CST
VIV1042,A. I. Benito Juárez,A. I. de Cancún,2:53,22:54,01:47 a. m.
VOI858,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,1:59,22:47,12:46 a. m.
VOI732,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:51,22:10,11:01 p. m.
VIV1144,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:05,22:09,11:14 p. m.
VIV1070,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:47,22:08,10:55 p. m.
SLI2638,A. I. Benito Juárez,A. I. Lic. Jesús Terán Peredo,0:43,21:01,09:44 p. m.
SLI8978,A. I. Benito Juárez,A. I. del Bajío,0:37,21:00,09:37 p. m.
TAO909,A. I. Benito Juárez,A. I. Gral. Juan N. Álvarez,0:50,20:53,09:43 p. m.
AIJ2188,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:12,20:09,09:21 p. m.
AMX184,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,2:03,19:47,09:50 p. m.
VIV1216,A. I. Benito Juárez,A. I. de Los Cabos,0:38,19:45,08:23 p. m.
SLI8054,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:26,19:01,08:27 p. m.
VIV1138,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:10,19:00,08:10 p. m.
VIV1172,A. I. Benito Juárez,A. I. Lic. Gustavo Díaz Ordaz,1:01,19:04,07:55 p. m.
SLI8983,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:47,18:01,06:48 p. m.
SLI374,A. I. Benito Juárez,A. I. de Tapachula,1:21,17:59,07:20 p. m.
VOI136,A. I. Benito Juárez,A. I. Carlos Rovirosa Pérez,1:04,17:56,07:00 p. m.
AMX188,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,2:02,17:52,07:54 p. m.
SLI2418,A. I. Benito Juárez,A. I. Gral. Fco. Javier Mina,0:36,17:03,05:39 p. m.
SLI342,A. I. Benito Juárez,A. I. Lic. Gustavo Díaz Ordaz,1:00,16:58,05:58 p. m.
SLI164,A. I. Benito Juárez,A. I. Federal de Culiacán,0:32,16:51,05:23 p. m.
VIV1024,A. I. Benito Juárez,A. I. de Cancún,2:59,16:02,07:01 p. m.
SLI8984,A. I. Benito Juárez,A. I. de Minatitlán,0:52,16:00,04:52 p. m.
VIV1066,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:52,15:39,04:51 p. m.
AMX534,A. I. Benito Juárez,A. I. de Cancún,2:48,15:02,05:50 p. m.
SLI144,A. I. Benito Juárez,A. I. Gral. Roberto Fierro Villalobos,0:47,14:58,03:45 p. m.
SLI2132,A. I. Benito Juárez,A. I. Federal del Valle del Fuerte,0:53,14:49,03:42 p. m.
SLI9099,A. I. Benito Juárez,A. I. Gral. Juan N. Álvarez,0:36,14:02,02:38 p. m.
AMX526,A. I. Benito Juárez,A. I. de Cancún,2:52,13:03,03:54 p. m.
SLI314,A. I. Benito Juárez,A. I. Ángel Albino Corzo,1:10,12:04,01:14 p. m.
VIV1182,A. I. Benito Juárez,A. I. de Puerto Escondido,1:04,12:00,01:04 p. m.
SLI2520,A. I. Benito Juárez,A. I. de Minatitlán,0:50,11:48,12:38 p. m.
AMX826,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:23,11:05,12:28 p. m.
VIV1240,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,1:58,11:04,01:02 p. m.
SLI8160,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez ,1:28,7:08,08:12AM CST
VIV4393,A. I. Carlos Rovirosa Pérez,A. I. Gral. Mariano Escobedo,1:36,9:23,10:59AM CST
AMX8022,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:17,12:15,01:10PM CST
VIV3257,A. I. Carlos Rovirosa Pérez,A. I. Miguel Hidalgo y Costilla,1:31, 13:16,02:47PM CST
AMX8980,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez ,1:22,16:20,05:24PM CST
AMX811,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:34,19:36,08:41PM CST
VIV1287,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:06,22:28,11:34PM CST
SLI8153,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:45,13:11,lun 01:56PM CST
SLI395,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:57,13:11,lun 02:08PM CST
VOI779,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:03,14:02,lun 03:05PM CST
VIV1093,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:48,15:57,lun 04:45PM CST
SLI399,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:59,16:36,lun 05:35PM CST
SLI8973,A. I. de Bahías de Huatulco,A. I. Benito Juárez,0:59,16:36,lun 05:35PM CST
XA-VGL,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:05,15:31,04:36 PM CST
VIV2026,A. I. de Cancún,A. I. Hermanos Serdán,1:43,15:18,04:01 PM CST
VIV2082,A. I. de Cancún,A. I. Gral. Lucio Blanco,1:47,15:14,05:01 PM CDT
VIV2168,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:00,15:10,04:10 PM CST
AMX535,A. I. de Cancún,A. I. Benito Juárez,2:13,14:45,03:58 PM CST
AMX8089,A. I. de Cancún,A. I. Benito Juárez,2:13,14:45,03:58 PM CST
VIV2134,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:13,14:27,04:10 PM CST
VOI631,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:41,14:28,04:06 PM CST
VOI721,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:41,14:28,04:09 PM CST
VOI191,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:30,13:56,03:26 PM CST
AMX531,A. I. de Cancún,A. I. Benito Juárez,2:41,13:45,02:59 PM CST 
AMX8072,A. I. de Cancún,A. I. Benito Juárez,2:14,13:45,02:59 PM CST 
VIV1019,A. I. de Cancún,A. I. Benito Juárez,1:57,13:47,02:44 PM CST
VOI701,A. I. de Cancún,A. I. Benito Juárez,2:30,12:58,02:28 PM CST
SLI2367,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:23,15:30,04:53 PM CST
VIV1017,A. I. de Cancún,A. I. Benito Juárez,1:51,13:18,02:09 PM CST
AIJ2379,A. I. de Cancún,A. I. Benito Juárez,2:20,13:05,02:25 PM CST
AMX523,A. I. de Cancún,A. I. Benito Juárez,2:21,11:35,12:56 PM CST
VOI607,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla ,2:48,10:57,12:45 PM CST
VIV1015,A. I. de Cancún,A. I. Benito Juárez,2:02,10:11,11:13 AM CST
VIV2136,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla ,2:13,17:56,07:09 PM CST
AMX8017,A. I. de Cancún,A. I. Benito Juárez,2:16,12:46,02:02 PM CST
VIV2042,A. I. de Cancún,A. I. del Bajío,2:03,12:55,01:58 PM CST
VOI147 ,A. I. de Chetumal,A. I. Miguel Hidalgo y Costilla,2:29,13:27,lun 03:36PM CST 
VOI825 ,A. I. de Chetumal,A. I. Benito Juárez,2:32,17:55,lun 05:55PM CST 
SLI7947,A. I. de Ciudad del Carmen,A. I. Benito Juárez,1:14,9:46,11:06AM CST
SLI815,A. I. de Ciudad del Carmen,A. I. Benito Juárez,2:06,9:47,11:06AM CST
SLI819,A. I. de Ciudad del Carmen,A. I. Benito Juárez,1:14,18:43,07:57PM CST
SLI2063,A. I. de Ciudad Obregón,A. I. Benito Juárez,1:53,15:55,6:48 PM CST
VIV4105,A. I. de Ciudad Obregón,A. I. Gral. Mariano Escobedo,2:25,16:50,7:15 PM CST
VOI173,A. I. de Ciudad Obregón,A. I. Benito Juarez,2:04,19:18,10:22 PM CST
VOI485,A. I. de Ciudad Obregón,A. I. Gral. Abelardo L. Rodríguez,1:15,21:38,9:53 PM PST
AIJ2351,A. I. de Cozumel,A. I. Benito Juárez,1:53,16:37,05:30 PM CST
FAM3911,A. I. de Cozumel,A. I. Benito Juárez,1:55,11:04,11:56 AM CST
TAO422,A. I. de Ixtapa-Zihuatanejo,A. I. Benito Juárez,0:58,12:47,01:45PM CST
TAO424,A. I. de Ixtapa-Zihuatanejo,A. I. Benito Juárez,0:53,16:17,05:13PM CST
SLI2455,A. I. de Ixtapa-Zihuatanejo,A. I. Benito Juárez,0:46,17:31,06:17PM CST
N518RC,A. I. de Los Cabos,A. I. Lic. Adolfo López Mateos ,2:01,7:49,10:50AM CST
VIV9095,A. I. de Los Cabos,A. I. Gral. Ignacio Pesqueira García,1:02,9:54,10:56AM MST
VQ-BOS,A. I. de Los Cabos,A. I. de Los Cabos,0:37,10:14,10:51AM MST
VOI851,A. I. de Los Cabos,A. I. Miguel Hidalgo y Costilla ,1:27,10:56,12:57PM CST
VIV9077,A. I. de Los Cabos,A. I. Federal de Culiacán,0:31,10:59,11:30AM MST
N300CG,A. I. de Los Cabos,A. I. Federal del Valle del Fuerte,1:02,12:41, 01:43PM MST
N53JD,A. I. de Los Cabos,A. I. Miguel Hidalgo y Costilla,1:44,12:45, 03:29PM CST
SLI383,A. I. de Los Cabos,A. I. Benito Juárez,2:06,12:53,03:31PM CST
VOI451,A. I. de Los Cabos,A. I. Gral. Abelardo L. Rodríguez,2:16,13:22, 03:14PM PDT
VOI783,A. I. de Los Cabos,A. I. Benito Juárez ,2:04,13:57,04:38PM CST
XA-COS,A. I. de Los Cabos,A. I. Gral. Abelardo L. Rodríguez,1:58,14:13,04:11PM PDT
VOI747,A. I. de Los Cabos,A. I. Gral. Abelardo L. Rodríguez,1:22,14:13,04:11PM PDT
AMX385,A. I. de Los Cabos,A. I. Benito Juárez,2:06,15:38,06:15PM CST
SLI257,A. I. de Los Cabos,A. I. Miguel Hidalgo y Costilla ,1:19,16:14,06:18PM CST
VIV4337,A. I. de Los Cabos,A. I. Gral. Mariano Escobedo,1:19,17:18,07:37PM CST
SLI387,A. I. de Los Cabos,A. I. Benito Juárez,2:28,17:53,08:32PM CST
VIV1217,A. I. de Los Cabos,A. I. Benito Juárez,1:33,20:58,11:31PM CST
SLI7551 ,A. I. de Minatitlán,A. I. Benito Juárez,1:21,10:54,lun 11:50AM CST 
SLI2529 ,A. I. de Minatitlán,A. I. Benito Juárez,1:21,10:54,lun 11:50AM CST 
SLI8170 ,A. I. de Minatitlán,A. I. Benito Juárez,1:05,13:45,lun 02:31PM CST 
SLI2521 ,A. I. de Minatitlán,A. I. Benito Juárez,1:05,13:45,lun 02:31PM CST 
SLI2525 ,A. I. de Minatitlán,A. I. Benito Juárez,1:06,18:05,lun 06:52PM CST 
TAO536 ,A. I. de Puerto Escondido,A. I. Benito Juárez,1:17,12:32,lun 01:42PM CST 
VIV1183 ,A. I. de Puerto Escondido,A. I. Benito Juárez,0:52,13:36,lun 02:21PM CST 
VIV1189 ,A. I. de Puerto Escondido,A. I. Benito Juárez,0:51,22:25,lun 11:08PM CST 
UPS313,A. I. de Querétaro,A. I. Miguel Hidalgo y Costilla,0:43,18:40,07:23PM CST
VOI366,A. I. de Querétaro,A. I. Lic. Gustavo Díaz Ordaz,0:53,18:34,07:27PM CST
CJT981,A. I. de Querétaro,A. I. Miguel Hidalgo y Costilla,0:49,18:01,06:50PM CST
SLI2226,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,0:58,16:23,05:21PM CST
XA-GEN,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,1:02,15:13,04:15PM CST
VOI112,A. I. de Querétaro,A. I. de Cancún,2:56,14:55,05:51PM EST
VIV4203,A. I. de Querétaro,A. I. Gral. Mariano Escobedo,0:55,14:35,03:30PM CST
SLI2463,A. I. de Querétaro,A. I. Benito Juárez,0:28,9:18,09:46AM CST
VIV2059,A. I. de Querétaro,A. I. de Cancún,2:56,8:42,11:38AM EST
