Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
VTM405,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:42,20:24,mar 10:06PM CST
SLI118,A. I. Abraham González,A. I. Benito Juárez ,2:12,19:00,mar 09:12PM CST
SLI116,A. I. Abraham González,A. I. Benito Juárez ,2:16,16:48,mar 07:04PM CST
VIV2217,A. I. Abraham González,A. I. de Cancún,4:08,14:59,mar 07:07PM EST
VIV4153,A. I. Abraham González,A. I. Gral. Mariano Escobedo ,1:26,14:08,mar 03:34PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez,2:15,14:01,mar 04:16PM CST
SLI114,A. I. Abraham González,A. I. Benito Juárez,2:21,11:49,mar 02:10PM CST
VIV9065,A. I. Abraham González,A. I. del Bajío ,1:59,8:59,mar 10:58AM CST
VIV3329,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:54,8:46,mar 10:40AM CST
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:47,8:24,11:05AM
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:37,8:43,11:07AM
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:07,6:29,Tue 07:36AM CST
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:08,6:30,Tue 07:36AM CST
VOI545,A. I. Angel Albino Corzo,A. I. Gral. Abelardo L. Rodríguez,2:55,8:09,Tue 11:04AM PDT
VIV3141,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:34,9:47,Tue 11:21AM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:10,11:21,Tue 12:31PM CST
SLI8151,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:16,14:29,Tue 03:45PM CST
SLI319,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:17,14:29,Tue 03:46PM CST
VOI689,A. I. Angel Albino Corzo,A. I. Miguel Hidalgo y Costilla,1:35,17:00,Tue 06:35PM CST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:11,18:03,Tue 07:14PM CST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:01,23:14,Wed 12:15AM CST
ESF610,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:42,0:26,mar 01:08AM CST
ESF337,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:43,1:12,mar 01:55AM CST
VOI792,A. I. Benito Juárez,A. I. Federal de Culiacán,0:31,5:31,mar 06:02AM MST
VIV1120,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo ,1:00,5:55,mar 06:55AM CST
VIV1422,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:32,6:05,mar 06:37AM CST
AMX800,A. I. Benito Juárez,A. I. Carlos Rovirosa Pérez,1:01,6:38,mar 07:39AM CST
SLI370,A. I. Benito Juárez,A. I. de Tapachula,1:19,7:16,mar 08:35AM CST
AIJ2360,A. I. Benito Juárez,A. I. de Cancún,3:00,7:29,10:29AM EST
VOI5357,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:46,8:08,mar 08:54AM CST
SLI2528,A. I. Benito Juárez,A. I. de Minatitlán,0:48,8:51,mar 09:39AM CST
AIJ3030,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,0:44,9:08,mar 10:36AM CST
VOI734,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:50,10:09,mar 10:59AM CST
VIV1002,A. I. Benito Juárez,A. I. de Cancún,3:02,11:12,mar 02:14PM EST
SLI8993,A. I. Benito Juárez,A. I. de Minatitlán,0:53,11:44,mar 12:37PM CST
SLI314,A. I. Benito Juárez,A. I. Ángel Albino Corzo,1:12,12:04,mar 01:16PM CST
AMX526,A. I. Benito Juárez,A. I. de Cancún,3:10,13:00,mar 04:10PM EST
AMX530,A. I. Benito Juárez,A. I. de Cancún,3:08,13:41,mar 04:49PM EST
VOI700,A. I. Benito Juárez,A. I. de Cancún,3:08,14:14,mar 05:06PM EST
SLI8070,A. I. Benito Juárez,A. I. Federal del Valle del Fuerte,2:11,14:47,mar 03:36PM MST
VIV1024,A. I. Benito Juárez,A. I. de Cancún,2:24,16:02,mar 06:56PM EST
SLI164,A. I. Benito Juárez,A. I. Federal de Culiacán,2:35,16:56,mar 05:31PM MST
SLI858,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:34,17:02,mar 05:36PM CST
SLI2978,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:45,17:53,mar 06:38PM CST
AMX546,A. I. Benito Juárez,A. I. de Cancún,2:56,18:02,mar 08:58PM EST
VIV1032,A. I. Benito Juárez,A. I. de Cancún,2:34,18:57,mar 09:37PM EST
SLI8054,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:23,19:01,mar 08:24PM CST
AIJ2188,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo ,2:16,19:55,09:11PM CST
AMX556,A. I. Benito Juárez,A. I. de Cancún,2:49,20:16,mar 11:05PM EST
VIV1188,A. I. Benito Juárez,A. I. de Puerto Escondido,0:52,20:49,09:41PM CST
AMX962,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,2:00,21:42,mar 10:42PM CST
VIV1246,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,2:10,22:04,mié 12:12AM PDT
VIV1042,A. I. Benito Juárez,A. I. de Cancún,2:48,22:52,mié 01:38AM EST
SLI8160,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:26,7:05,08:11AM CST
VIV4393,A. I. Carlos Rovirosa Pérez,A. I. Gral. Mariano Escobedo,1:32,9:05,10:37AM CST
SLI8022,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:26,12:16,01:19PM CST
AMX8980,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:26,16:20,05:25PM CST
SLI811,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:22,19:05,08:08PM CST
VIV1287,A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:09,22:26,11:25PM CST
SLI395,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:01,13:05,mar 02:06PM CST
SLI8153,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:01,13:05,mar 02:06PM CST
VOI779,A. I. de Bahías de Huatulco,A. I. Benito Juárez,1:11,14:10,mar 03:21PM CST
VIV2176,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:03,23:14,12:17 AM CST
VIV1033,A. I. de Cancún,A. I. Benito Juárez,1:49,22:58,11:47 PM CST
VIV1027,A. I. de Cancún,A. I. Benito Juárez,1:46,22:48,11:34 PM CST
VOI707,A. I. de Cancún,A. I. Benito Juárez,2:04,22:10,11:14 PM CST
VIV1377,A. I. de Cancún,A. I. Benito Juárez,1:48,22:00,10:48 PM CST
VOI715,A. I. de Cancún,A. I. Benito Juárez,2:09,21:11,10:20 PM CST
AMX587,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:31,20:55,10:26 PM CST
VIV1041,A. I. de Cancún,A. I. Benito Juárez,1:54,20:45,09:39 PM CST
AMX559,A. I. de Cancún,A. I. Benito Juárez,2:22,20:27,09:49 PM CST
VOI711,A. I. de Cancún,A. I. Benito Juárez,2:06,20:18,09:24 PM CST
AIJ2383,A. I. de Cancún,A. I. Benito Juárez,1:37,20:05,08:42 PM CST
VIV1025,A. I. de Cancún,A. I. Benito Juárez,2:28,20:00,08:57 PM CST
VIV2008,A. I. de Cancún,A. I. Francisco Sarabia,2:28,19:48,09:16 PM CST
SLI555,A. I. de Cancún,A. I. Benito Juárez,2:18,19:28,08:46 PM CST
VIV1375,A. I. de Cancún,A. I. Benito Juárez,1:46,19:20,08:06 PM CST
AIJ3051,A. I. de Cancún,A. I. Benito Juárez,1:41,19:15,07:56 PM CST 
VIV2172,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:15,19:07,08:22 PM CST
VOI213,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:19,18:35,07:54 PM CST 
VOI633,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:37,18:33,08:10 PM CST
VOI125,A. I. de Cancún,A. I. Lic. Jesús Terán Peredo,2:23,18:27,07:50 PM CST
AMX549,A. I. de Cancún,A. I. Benito Juárez,2:35,18:11,07:46 PM CST
VOI705,A. I. de Cancún,A. I. Benito Juárez,2:39,17:55,07:34 PM CST
VIV2170,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:02,18:04,07:06 PM CST
VOI639,A. I. de Cancún,A. I. del Bajío,2:18,17:44,07:02 PM CST
VOI229,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:17,17:22,06:39 PM CST
VOI5619,A. I. de Cancún,A. I. Miguel Hidalgo y Costilla,2:51,16:19,06:10 PM CST
SLI2367,A. I. de Cancún,A. I. Gral. Mariano Escobedo,2:35,16:07,05:42 PM CST
SLI9092,A. I. de Cancún,A. I. Benito Juárez,2:16,16:07,05:23 PM CST
VOI701,A. I. de Cancún,A. I. Benito Juárez,2:11,15:33,04:44 PM CST
SLI531,A. I. de Cancún,A. I. Benito Juárez,2:27,13:35,03:02 PM CST
VIV2216,A. I. de Cancún,A. I. Abraham González,3:16,11:57,02:13 PM MDT
AIJ2361,A. I. de Cancún,A. I. Benito Juárez,1:39,11:46,12:25 PM CST
XA-MRA,A. I. de Chetumal,A. I. de Cancún,0:41,12:57,mar 02:38PM EST
XA-AXT ,A. I. de Chetumal,A. I. de Cancún,1:02,13:13,mar 03:15PM EST
VOI825 ,A. I. de Chetumal,A. I. Benito Juárez,1:55,17:52,mar 07:26PM CST
VOI293,A. I. de Ciudad del Carmen,A. I. Benito Juárez,1:02,8:35,09:47AM CST
SLI7947,A. I. de Ciudad del Carmen,A. I. Benito Juárez,1:12,9:46,10:58AM CST
SLI815,A. I. de Ciudad del Carmen,A. I. Benito Juárez,1:09,9:46,10:59AM CST
LCT610,A. I. de Ciudad del Carmen,A. I. Gral. Heriberto Jara,0:55,14:00,02:55PM CST
LCT611,A. I. de Ciudad del Carmen,A. I. Gral. Fco. Javier Mina,1:05,17:05,06:10PM CST
