Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
VTM627,A. I. Abraham González,A. I. del Bajío,2:47,21:57,12:44AM CST (+1)
VTM404,A. I. Abraham González,A. I. Plan de Guadalupe,1:14,20:22,mié 09:36PM CST
VOI477,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:30,19:31,mié 08:01PM PDT
SLI118,A. I. Abraham González,A. I. Benito Juárez,2:08,19:02,mié 09:10PM CST
AMX116,A. I. Abraham González,A. I. Benito Juárez,2:03,17:00,mié 07:03PM CST
XA-UUW,A. I. Abraham González,A. I. Lic. Adolfo López Mateos,2:02,16:11,mié 06:13PM CST
VOI114,A. I. Abraham González,A. I. de Cancún,3:51,15:37,mié 07:28PM EST
VIV4153,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:14,14:21,mié 03:35PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez,2:03,14:08,mié 04:11PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez,2:11,14:00,mié 04:11PM CST
VOI9042,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:33,13:09,mié 01:42PM PDT
XA-VCY,A. I. Abraham González,A. I. Lic. Adolfo López Mateos,2:09,13:02,mié 03:11PM CST
SLI114,A. I. Abraham González,A. I. Benito Juárez,2:04,11:37,mié 01:41PM CST
VIV9065,A. I. Abraham González,A. I. del Bajío,1:46,9:12,mié 10:58AM CST
VIV3329,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:46,8:48,mié 10:34AM CST
N43AG,A. I. Abraham González,A. I. Gral. Ignacio Pesqueira García,2:21,8:13,mié 10:34AM CST
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:30,7:59,10:25AM
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:29, 08:57,11:10AM 
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,0:56,6:44,Wed 07:40AM CST
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:08,6:44,Wed 07:52AM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:12,11:11,Wed 12:23PM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:12,11:11,Wed 12:23PM CST
VIV4193,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:41,13:25,Wed 03:06PM CST
SLI8151,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:13,14:22,Wed 03:35PM CST
SLI319,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:23,14:23,Wed 03:35PM CST
