Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
SLI8160, A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:27,7:12,08:17AM CST
VIV3255, A. I. Carlos Rovirosa Pérez,A. I. Miguel Hidalgo y Costilla,1:35,8:45,10:20AM CST
VIV4393, A. I. Carlos Rovirosa Pérez,A. I. Gral. Mariano Escobedo,1:39,9:28,11:02AM CST
SLI8075, A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:15,11:21, 12:16PM CST
SLI7977, A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:32,15:06,04:16PM CST
SLI811, A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:50,16:43,07:52PM CST
VIV1287, A. I. Carlos Rovirosa Pérez,A. I. Benito Juárez,1:02,22:43,11:45PM CST
SLI118,A. I. Abraham González,A. I. Benito Juárez ,2:04,19:00,sáb 09:04PM CST
VOI241,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:46,18:46,sáb 08:32PM CST
SLI116,A. I. Abraham González,A. I. Benito Juárez,2:05,16:44,sáb 06:49PM CST
XB-JBI,A. I. Abraham González,A. I. Gral. Roberto Fierro Villalobos,0:11,16:21,sáb 04:32PM MST
VOI114,A. I. Abraham González,A. I. de Cancún,3:59,15:38,sáb 07:37PM EST
VIV3333,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:46,14:22,sáb 04:08PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez ,1:59,14:11,sáb 04:12PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez ,2:32,15:34,sáb 03:36PM CST
VIV2217,A. I. Abraham González,A. I. de Cancún,4:06,11:54,sáb 04:00PM EST
SLI114,A. I. Abraham González,A. I. Benito Juárez,2:05,11:39,sáb 01:44PM CST
VIV4147,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:18,9:35,sáb 10:53AM CST
VIV9065,A. I. Abraham González,A. I. del Bajío ,1:45,9:07,sab 10:52AM CST
VTM405,A. I. Abraham González,A. I. Lic. Jesús Terán Peredo ,1:39,8:43,10:22AM CST
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:46,8:24,11:06AM
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:25,9:13,11:23AM
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:37,6:30,Sat 07:37AM CST
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:37,6:30,Sat 07:37AM CST
VOI545,A. I. Angel Albino Corzo,A. I. Gral. Abelardo L. Rodríguez,2:43,8:06,Sat 10:49AM PDT
VIV4191,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:37,8:40,Sat 10:17AM CST
VOI773,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:06,10:12,Sat 11:18AM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,0:57,11:13,Sat 12:10PM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,11:13,Sat 12:22PM CST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:05,18:05,Sat 07:10PM CST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:04,23:35,Sun 12:39AM CST
TNO270,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:30,1:41,sáb 03:11AM CST
VOI792,A. I. Benito Juárez,A. I. Federal de Culiacán,0:27,5:43,sáb 06:10AM MST
VIV1120,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:04,5:58,sáb 07:02AM CST
VIV1422,A. I. Benito Juárez,A. I. Gral. Heriberto Jara,0:32,6:05,sáb 06:37AM CST
SLI160,A. I. Benito Juárez,A. I. Federal de Culiacán,0:30,6:42,sáb 07:12AM MST
VOI180,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:03,7:00,sáb 08:03AM CST
SLI370,A. I. Benito Juárez,A. I. de Tapachula,1:21,7:20,sáb 08:41AM CST
SLI7530,A. I. Benito Juárez,A. I. Lic. Gustavo Díaz Ordaz,1:01,8:03,sáb 09:04AM CST
