Numero de vuelo,Aeropuerto salida,Aeropuerto llegada,Tiempo de vuelo,Hora de salida,Hora llegada
XB-NXR,A. I. Abraham González,A. I. Lic. Jesús Terán Peredo,3:10,22:23,01:39AM CST (+1)
VIV3337,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:40,22:20,sáb 12:00AM CST
VOI477,A. I. Abraham González,A. I. Gral. Abelardo L. Rodríguez,0:34,19:31,vie 08:05PM PDT
SLI118,A. I. Abraham González,A. I. Benito Juárez,2:06,19:00,vie 09:06PM CST
VOI241,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:45,18:37,vie 08:22PM CST
XA-UUW,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:14,17:23,vie 06:37PM CST
SLI116,A. I. Abraham González,A. I. Benito Juárez,2:08,16:42,vie 06:50PM CST
VTM659,A. I. Abraham González,A. I. de Ciudad Obregón,0:23,16:36,vie 05:01PM MST
VIV4153,A. I. Abraham González,A. I. Gral. Mariano Escobedo,1:11,14:05,vie 03:16PM CST
VIV1003,A. I. Abraham González,A. I. Benito Juárez,2:02,13:56,vie 03:59PM CST
VOI279,A. I. Abraham González,A. I. Benito Juárez,2:02,13:29,vie 03:31PM CST
AMX114,A. I. Abraham González,A. I. Benito Juárez,2:09,12:11,vie 02:20PM CST
MCS1008,A. I. Abraham González,A. I. Plan de Guadalupe,1:12,11:40,vie 12:52PM CST
VIV9065,A. I. Abraham González,A. I. del Bajío,1:40,9:04,vie 10:44AM CST
VIV3329,A. I. Abraham González,A. I. Miguel Hidalgo y Costilla,1:42,8:41,vie 10:23AM CST
TAO141,A. I. Amado Nervo,A. I. Benito Juárez,1:49,7:42,10:26AM
VOI845,A. I. Amado Nervo,A. I. Gral. Abelardo L. Rodríguez,2:37,9:08,11:24AM
SLI313,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,6:30,Fri 07:39AM CST
SLI8109,A. I. Angel Albino Corzo,A. I. Benito Juárez,0:57,6:30,Fri 07:27AM CST
VOI545,A. I. Angel Albino Corzo,A. I. Gral. Abelardo L. Rodríguez,2:42,8:08,Fri 10:50AM PDT
VOI773,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,10:22,Fri 11:30AM CST
SLI317,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:12,11:17,Fri 12:29PM CST
SLI8143,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:12,11:17,Fri 12:29PM CST
SLI319,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:14,14:27,Fri 03:41PM CST
SLI8151,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:14,14:27,Fri 03:41PM CST
VIV4197,A. I. Angel Albino Corzo,A. I. Gral. Mariano Escobedo,1:39,16:07,Fri 05:46PM CST
SLI321,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:06,18:05,Fri 07:11PM CST
VIV1229,A. I. Angel Albino Corzo,A. I. Benito Juárez,1:09,20:55,Sat 12:04AM CST
ESF610,A. I. Benito Juárez,A. I. Ponciano Arriaga,0:44,0:40,vie 01:24AM CST
DLH8225,A. I. Benito Juárez,A. I. Miguel Hidalgo y Costilla,0:40,1:54,vie 02:34AM CST
VOI760,A. I. Benito Juárez,A. I. Gral. Ignacio Pesqueira García,2:13,5:29,vie 06:42AM MST
ESF338,A. I. Benito Juárez,A. I. Gral. Roberto Fierro Villalobos,1:48,5:40,vie 06:28AM MST
VIV1442,A. I. Benito Juárez,A. I. Gral. Fco. Javier Mina,0:36,6:05,vie 06:41AM CST
VIV1100,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón,1:22,6:25,vie 07:47AM CST
SLI8107,A. I. Benito Juárez,A. I. Xoxocotlán,0:42,6:49,vie 07:31AM CST
VOI180,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:05,7:02,vie 08:07AM CST
SLI138,A. I. Benito Juárez,A. I. Gral. Roberto Fierro Villalobos,1:50,7:25,vie 08:15AM MST
AMX504,A. I. Benito Juárez,A. I. de Cancún,2:45,7:30,vie 10:15AM EST
AMX508,A. I. Benito Juárez,A. I. de Cancún,2:42,8:16,vie 10:58AM EST
VIV1134,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:14,8:38,vie 09:52AM CST
SLI9101,A. I. Benito Juárez,A. I. Ángel Albino Corzo,1:11,9:01,vie 10:12AM CST
VOI817,A. I. Benito Juárez,A. I. Gral. Abelardo L. Rodríguez,1:01,9:36,vie 11:37AM PDT
AMX140,A. I. Benito Juárez,A. I. Gral. Roberto Fierro Villalobos,0:46,10:00,vie 10:46AM MST
AMX516,A. I. Benito Juárez,A. I. de Cancún,2:46,10:36,vie 01:22PM EST
AMX826,A. I. Benito Juárez,A. I. Manuel Crescencio Rejón ,1:23,11:05,vie 12:28PM CST
AMX522,A. I. Benito Juárez,A. I. de Cancún,2:50,11:44,vie 02:34PM EST
VIV1182,A. I. Benito Juárez,A. I. de Puerto Escondido,1:04,12:00,vie 01:04PM CST
VIV1124,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:09,12:33,vie 01:42PM CST
AMX526,A. I. Benito Juárez,A. I. de Cancún,2:51,13:03,vie 03:54PM EST
SLI306,A. I. Benito Juárez,A. I. Gral. Juan N. Álvarez,0:35,14:03,vie 02:38PM CST
AMX7970,A. I. Benito Juárez,A. I. Gral. Mariano Escobedo,1:18,14:30,vie 03:38PM CST
